VIN,VSS,VDD,IDD,ISS,VREF,IIN,VOUT,@TIME
2.0,0.0,3.3,8.5281e-10,-8.6608e-10,0.5,9.91e+307,1.52593,255.0
2.0,0.0,3.3,8.5099e-10,-8.6689e-10,0.5,9.91e+307,1.525968,256.0
2.0,0.0,3.3,8.5361e-10,-8.6694e-10,0.5,9.91e+307,1.525838,257.0
2.0,0.0,3.3,8.5378e-10,-8.6751e-10,0.5,9.91e+307,1.525856,258.0
2.0,0.0,3.3,8.5655e-10,-8.6651e-10,0.5,9.91e+307,1.525794,259.0
2.0,0.0,3.3,8.5236e-10,-8.6828e-10,0.5,9.91e+307,1.525818,260.0
2.0,0.0,3.3,8.5413e-10,-8.6882e-10,0.5,9.91e+307,1.525794,261.0
2.0,0.0,3.3,8.5016e-10,-8.667e-10,0.5,9.91e+307,1.525946,262.0
2.0,0.0,3.3,8.654e-10,-8.6731e-10,0.5,9.91e+307,1.525978,263.0
2.0,0.0,3.3,8.516e-10,-8.6752e-10,0.5,9.91e+307,1.52589,264.0
2.0,0.0,3.3,8.4927e-10,-8.6749e-10,0.5,9.91e+307,1.526022,265.0
2.0,0.0,3.3,8.5299e-10,-8.6808e-10,0.5,9.91e+307,1.525862,266.0
2.0,0.0,3.3,8.5265e-10,-8.6784e-10,0.5,9.91e+307,1.525932,267.0
2.0,0.0,3.3,8.5303e-10,-8.67e-10,0.5,9.91e+307,1.525842,268.0
2.0,0.0,3.3,8.5333e-10,-8.666e-10,0.5,9.91e+307,1.525844,269.0
2.0,0.0,3.3,8.5188e-10,-8.6797e-10,0.5,9.91e+307,1.525904,270.0
2.0,0.0,3.3,8.5158e-10,-8.6704e-10,0.5,9.91e+307,1.525886,271.0
2.0,0.0,3.3,8.5248e-10,-8.651e-10,0.5,9.91e+307,1.525962,272.0
2.0,0.0,3.3,8.5151e-10,-8.674e-10,0.5,9.91e+307,1.525994,273.0
2.0,0.0,3.3,8.5084e-10,-8.6774e-10,0.5,9.91e+307,1.526008,274.0
2.0,0.0,3.3,8.5041e-10,-8.6557e-10,0.5,9.91e+307,1.52599,275.0
2.0,0.0,3.3,8.5468e-10,-8.6687e-10,0.5,9.91e+307,1.525696,276.0
2.0,0.0,3.3,8.5045e-10,-8.7482e-10,0.5,9.91e+307,1.52605,277.0
2.0,0.0,3.3,8.5273e-10,-8.6567e-10,0.5,9.91e+307,1.525822,278.0
2.0,0.0,3.3,8.5078e-10,-8.657e-10,0.5,9.91e+307,1.525924,279.0
2.0,0.0,3.3,8.4971e-10,-8.6654e-10,0.5,9.91e+307,1.525966,280.0
2.0,0.0,3.3,8.5225e-10,-8.6701e-10,0.5,9.91e+307,1.525912,281.0
