time,VDD,IDD,ISS,VREF,IREF,VOUT
299,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.466964
300,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.477438
301,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.475296
302,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.480408
303,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.478422
304,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.470884
305,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.46823
306,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.476736
307,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.477488
308,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.473086
309,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.474264
310,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.46739
311,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.48306
312,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.4766
313,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.469382
314,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.474966
315,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.46497
316,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.46524
317,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.479472
318,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.471108
319,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.475804
320,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.468156
321,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.470864
322,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.478724
323,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.475606
324,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.46864
325,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.470346
326,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.47437
327,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.467794
328,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.476214
329,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.474292
330,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.476484
331,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.475514
332,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.481296
333,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.472486
334,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.473286
335,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.470056
336,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.471188
337,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.468386
338,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.469716
339,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.47547
340,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.472962
341,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.467088
342,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.474512
343,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.475538
344,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.467702
345,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.472058
346,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.471128
347,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.473404
348,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.469976
349,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.474846
350,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.46667
351,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.466936
352,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.473172
353,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.469512
354,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.47097
355,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.477628
356,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.474138
357,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.479616
358,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.47247
359,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.466394
360,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.47814
361,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.471084
362,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.476646
363,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.470934
364,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.470996
365,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.475286
366,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.477106
367,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.479104
368,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.469072
369,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.47089
370,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.481778
371,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.47782
372,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.486912
373,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.473196
374,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.468328
375,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.478466
376,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.473026
377,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.46998
378,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.476488
379,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.471442
380,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.475228
381,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.479324
382,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.473096
383,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.48001
384,3.3,9.91E+307,9.91E+307,0.5,9.91E+307,1.47329
