VIN,VSS,VDD,IDD,ISS,VREF,IREF,VOUT
2.75,0.0,3.3,2.97e-11,9.91e+307,1.0,9.91e+307,2.2e-05
2.8,0.0,3.3,2.714e-11,9.91e+307,1.0,9.91e+307,2e-06
2.85,0.0,3.3,3.792e-11,9.91e+307,1.0,9.91e+307,1e-05
2.9,0.0,3.3,1.865e-11,9.91e+307,1.0,9.91e+307,1e-05
2.95,0.0,3.3,1.951e-11,9.91e+307,1.0,9.91e+307,6e-06
3.0,0.0,3.3,1.519e-11,9.91e+307,1.0,9.91e+307,6e-06
0.0,0.0,3.3,4.3e-13,9.91e+307,1.25,9.91e+307,-1e-05
0.05,0.0,3.3,3.6e-13,9.91e+307,1.25,9.91e+307,-2e-06
0.1,0.0,3.3,3.3e-13,9.91e+307,1.25,9.91e+307,2e-06
0.15,0.0,3.3,1.75e-12,9.91e+307,1.25,9.91e+307,-1e-05
0.2,0.0,3.3,8.52e-12,9.91e+307,1.25,9.91e+307,-4e-06
0.25,0.0,3.3,2.607e-11,9.91e+307,1.25,9.91e+307,1e-05
0.3,0.0,3.3,4.269e-11,9.91e+307,1.25,9.91e+307,6e-06
0.35,0.0,3.3,5.098e-11,9.91e+307,1.25,9.91e+307,1e-05
0.4,0.0,3.3,5.669e-11,9.91e+307,1.25,9.91e+307,6e-06
0.45,0.0,3.3,5.577e-11,9.91e+307,1.25,9.91e+307,2.4e-05
0.5,0.0,3.3,6.405e-11,9.91e+307,1.25,9.91e+307,1.8e-05
0.55,0.0,3.3,6.647e-11,9.91e+307,1.25,9.91e+307,1.8e-05
0.6,0.0,3.3,5.684e-11,9.91e+307,1.25,9.91e+307,1.8e-05
0.65,0.0,3.3,5.743e-11,9.91e+307,1.25,9.91e+307,2.2e-05
0.7,0.0,3.3,4.536e-11,9.91e+307,1.25,9.91e+307,2.8e-05
0.75,0.0,3.3,3.905e-11,9.91e+307,1.25,9.91e+307,1.2e-05
0.8,0.0,3.3,7.243e-11,9.91e+307,1.25,9.91e+307,1.8e-05
